NAMC_ID,NAMC_CODE,NAMC_term,NAMC _term_diacritical,  NAMC _term_DEVANAGARI,short_definition,long_definition,ontology_branches
1800,HG-3.9.6,CATRAKI,chatrakī,छत्रकी,vision(lens) resembles an umbrella ,"the disorder is characterized by chatrābhaḥ [umbrella shaped], naikavarṇaḥ/citrarāgaḥ [multi colour], nīlikā [blackish patch on any part of the body] ",
1801,HG-4,PITTAVIDAGDHADRUSHTI/DIVANDHYAM,pittavidagdhadr̥ṣṭi/divāndhyam,पित्तविदग्धदृष्टि/दिवान्ध्यम्,hemeralopia ,"the disorder is characterized by dr̥ṣṭiḥ pītā bhavēt [yellowish discoloration of eyes], rūpāṇi pītāni manyatē [sees objects as yellow], divā na paśyēt [day blindness], niśi vīkṣatē [normal vision during night], arkē astamastakanyastakagabhastau sthaganam [loss of vision after sunset] ",
1802,HG-5,DOSHANDHAH,dōṣāndhaḥ,दोषान्धः,night-blindness due to dōṣa , ,
1803,HG-6,KAPAVIDAGDHADRUSHTI/RATRYANDHYAM,kaphavidagdhadr̥ṣṭi/rātryāndhyam,कफविदग्धदृष्टि/रात्र्यान्ध्यम्,nyclalopia ,"the disorder is characterized by rūpāṇi śuklāni manyatē [patients percepts all objects as white.], naktāndhyam [night blindness], divā rūpāṇi īkṣēta [during the day eyes are favoured by the sun and the patient can see objects] ",
1804,HG-7,USHNAVIDAGDHADRUSHTIH/VIDAGDHOSHNAH,uṣṇavidagdhadr̥ṣṭiḥ/vidagdhōṣṇaḥ,उष्णविदग्धदृष्टिः/विदग्धोष्णः,blindness due to excess intake of vidāhī food ,"the disorder is characterized by dāhaḥ [burning sensation all over body], ūṣā [burning sensation with sweating and restlessness], malinaṁ śuklam [sclera appear dirty], ahani āviladarśanam [unclear vision during daytime], rātryāndhyam [night blindness] ",
1805,HG-8,DHUMADARSI/DHUMARAH,dhūmadarśī/dhūmaraḥ,धूमदर्शी/धूमरः,hazyness of vision ,"the disorder is characterized by sarvabhāvān sadhūmakān paśyati/dhūmadr̥k [seeing eveything covered with smoke], dhūmāviladr̥ṣṭiḥ [eyes appear dirty with cloudy appearance] ",
1806,HG-9,HRASVAJADYAM,hrasvajāḍyam,ह्रस्वजाड्यम्,retinitis pigmentosa/Central Opacity of lens ,"the disorder is characterized by divasēṣu kr̥cchrāt-hr̥sva-rūpa-darśanam/hrasvadarśanam [seeing object as small with great difficulties in day time], hrasvasaṁsthānaḥ [pupils appear small] ",
1807,HG-10,NAKULANDHYAM,nakulāndhyam,नकुलान्ध्यम्,maculopathy ,"the disorder is characterized by dr̥ṣṭiḥ nakulavat vidyōtatē [eyes shines like that of mangoose], divā citra-rūpa-darśanam/ahni citraṁ paśyati [seeing object with variegated colour in day time], niśi citraṁ na paśyati [absence of seeing of objects in variegated colour during night] ",
1808,HG-11,GAMBIRA/DRUSHTIH,gambhīrā/dr̥ṣṭiḥ,गम्भीरा/दृष्टिः,pthisis bulbi endophthalmity ,"the disorder is characterized by virūpa-dr̥ṣṭiḥ [defomed eyes], abhyantarasaṁkucita-dr̥ṣṭiḥ/dr̥gmaṇḍalam antaḥ praviśati [eyes shrink inwards], avagāḍha-rujā [intense pain], dr̥k-sirāsaṁkōcaḥ [constriction of vessels of eye] ",
1809,HG-12,VIDAGDHAMLADRUSHTIH,vidagdhāmladr̥ṣṭiḥ,विदग्धाम्लदृष्टिः,sour-food induced nētrarōga ,"the disorder is characterized by klēdaḥ [moistening /soddening], kaṇḍūḥ [itching], kaluṣadr̥ṣṭiḥ [dirtiness] ",
1810,HH,BAHYA NETRAROGA,bāhya nētrarōga,बाह्य नेत्ररोग,exogenous nētrarōga , ,
1811,HH-1,NIMITTAJANYA-DRUSHTIGATAROGAH,nimittajanya-dr̥ṣṭigatarōgaḥ,निमित्तजन्य-दृष्टिगतरोगः,with particular cause ,the disorder is characterized by abhiṣyandanidarśanaḥ [features of abhiṣyanda] ,
1812,HH-2,ANIMITTAJANYA-DRUSHTIGATAROGAH/AUPASARGIKA-LINGANASAH,animittajanya-dr̥ṣṭigatarōgaḥ/aupasargika-liṅganāśaḥ,अनिमित्तजन्य-दृष्टिगतरोगः/औपसर्गिक-लिङ्गनाशः,idiopathic-dr̥ṣṭigatarōga ,"the disorder is characterized by dr̥ṣṭihananam [blindness], vispaṣṭadr̥ṣṭiḥ [unclear vision], vaiḍūryavarṇadr̥ṣṭiḥ [colour of eye similar to cat's eye gem], vimaladr̥ṣṭiḥ/prakr̥tisthamivāvyathadr̥ṣṭiḥ [occasional normal vision], stimitadr̥ṣṭiḥ [fixed gaze], darśana aśakti [impariment of vision], visarpaiva avabhati [looking bright] ",
1813,I,NASAROGAH,nāsārōgaḥ,नासारोगः,nose diseases , ,
1814,I-1,PRATISYAYAH/PINASAH,pratiśyāyaḥ/pīnasaḥ,प्रतिश्यायः/पीनसः,rhinitis ,"the disorder is characterized by vibandha [fullness of ,abdomen due to constipation], śiraśūla [headache], gauravaḥ [heaviness of the body], ghrāṇaviplavaḥ [stuffy nose], jvaraḥ [fever], kāsaḥ [cough], kaphōtklēśaḥ [nausea with mucous], svarabhēdaḥ [hoarseness of voice] ",
1815,I-1.1,PRATISYAYA-PURVARUPAM,pratiśyāya-pūrvarūpam,प्रतिश्याय-पूर्वरूपम्,prodromes pratiśyāya ,"the disorder is characterized by śirōgurutvaṁ [heaviness of head], kṣavathu/kṣava pravr̥tti [sneezing], aṅgamardaḥ [generalised bodyache], parihr̥ṣṭarōmatā [horripilation], śirasō atipūrṇatā [feeling of fullness of head], stambhaḥ [rigidity/stiffness] ",
1816,I-1.2,DUSHTAPRATISYAYAH,duṣṭapratiśyāyaḥ,दुष्टप्रतिश्यायः,chronic pratiśyāya ,"the disorder is characterized by nāsā-praklidyatē/nāsikā klēda [moistening of nose], nāsā-pariśuṣyati/nāsikā saṁśōṣa [dryness in nose], nāsā-punarānahyatē [intermittent nasal blockage], nāsā-punarvivriyatē [intermittent clearing of nose], atidurgandha-niḥśvāsaḥ/atidurgandha ucchvāsa [bad breath], gandhān na vētti [unable to perceive smell], sarvēndriya tāpanam [afflicts all sensory organs], agnisādaḥ [diminution of agni (digestive power)], jvaraḥ [fever], śvāsaḥ [breathlessness/difficult breathing], kāsaḥ [cough], urōvēdanam [pain in the chest region], pārśvavēdanā [pain in sides of chest/flanks], akasmāt bahuśō kupyati [intermittent relapses without apparent reason], mukha daurgandhya [halitosis], śōphakr̥ta [odema], nāsikā śuddhi rōdhakarō muhuḥ [intermittent clearing and obstruction of nose], pūyōpamā grathita ślēṣma saṁsruti [discharge of thickened mucus resembling pus], asita rakta grathita ślēṣma saṁsruti [blackish or reddish tinged thick mucus discharge], dīrghāḥ kr̥mayōḥ atra mūrcchanti [manifestation of long thread like worms], snigdhaḥ kr̥mayōḥ atra mūrcchanti [manifestation of unctuous appearing worms], śvētāḥkr̥mayōḥ atra mūrcchanti [manifestation of whitish worms], aṇavaḥ kr̥mayōḥ atra mūrcchanti [manifestation of minute worms] ",
1817,I-1.3,VATAJAPRATISYAYAH,vātajapratiśyāyaḥ,वातजप्रतिश्यायः,pratiśyāya due to vāta ,"the disorder is characterized by ānaddhā nāsā/ ghrāṇa uparōdhaḥ [fullness or blocking of nose], pihitā nāsā [feeling as if nose is filled with dust etc], tanusrāvaḥ [thin watery discharge], gala-śōṣaḥ [dryness of throat], tālu-śōṣaḥ [dryness of palate], ōṣṭhaśōṣaḥ [dryness of lips], śaṅkha-nistōdaḥ [pricking pain in temples], kṣavapravr̥ttiratyartham/bhr̥śaṁ kṣavaḥ [excessive sneezing tendency], vaktravairasyam [tastelessness of mouth], svarōpaghātaḥ/ svarasādaḥ [hoarseness of voice/weakness of voice], danta vyathā [toothache], śaṁkha vyathā [distress in temporal region (pain)], śirō vyathā [distress in the head (pain)], bhrūvau kīṭikā sarpantiriva manyatē [feeling as if insects are crawling in the supraorbital area], cirāt pākaḥ [take a long time to suppurate], śiśira kapha sruti [discharge of cold mucus], acch kapha sruti [discharge of clear mucus] ",
1818,I-1.4,PITTAJA-PRATISYAYAH,pittaja-pratiśyāyaḥ,पित्तज-प्रतिश्यायः,pratiśyāya due to pitta ,"the disorder is characterized by uṣṇaḥ srāvō ghrāṇāt [warm and yellowish discharge through nose], sapītakaḥ srāvō ghrāṇāt/pīta kaphasruti [yellowish discharge from nose], kr̥śaḥ [emaciated/thin /malnourished], atipāṇḍuḥ [excessive paleness of body], santāpaḥ [burning sensation], tr̥ṣṇāni(bhi)pīḍitaḥ [excessive thirst], sadhūmaṁ sahasā vahniṁ vamatīva ca nāsāyā mānavaḥ [feeling as if he would suddenly vomit out a mass of fire with fumes], ghrāṇapiṭikā sambhava [manifestation of eruptions inside nose], bhramaḥ [giddiness or dizziness], nāsāgra pāka [suppuration of nose tip], jvaraḥ [fever], rūkṣa kaphasruti [discharge of dried mucus], uṣṇaḥkaphasruti [discharge of hot mucus], tāmra kaphasruti [coppery coloured nasal discharge] ",
1819,I-1.5,KAPAJA-PRATISYAYAH,kaphaja-pratiśyāyaḥ,कफज-प्रतिश्यायः,pratiśyāya due to kapha ,"the disorder is characterized by muhuḥśīta-kaphasrāvaḥ(ghrāṇāt) [cold copius mucous dischage from nose], muhuḥśukla-kaphasrāvaḥ(ghrāṇāt) [intermittent discharge of white mucus], śuklāvabhāsaḥ [whitish appearence of the body], śuklākṣa [whitish colored eyes], śirō-gauravaḥ [heaviness of head], kaṇṭha atīva kaṇḍūḥ [excessive itching in throat], tālu-atīvakaṇḍūḥ [excessive itching in palate], ōṣṭha-atīvakaṇḍūḥ [excessive itching in lips], śiraḥatīva-kaṇḍūḥ [excessive itching in head], kāsaḥ [cough], aruci [tastelessness], vamathu [vomiting], gātragaurava [heaviness of body parts], vadana mādhuryam [sweet taste in mouth], snigdha kapha sruti [unctuous mucus discharge], śūnākṣa [swelling in orbital region] ",
1820,I-1.6,SANNIPATAJA-PRATISYAYAH,sānnipātaja-pratiśyāyaḥ,सान्निपातज-प्रतिश्यायः,pratiśyāya due to three dōṣa ,"the disorder is characterized by bhūtvā bhūtvā pratiśyāyaḥ [reoccurs repeatedly/reoccurs intermittently], saṁpakka-apakka-san -akasmābhivartanam [disappears suddenly with or without undergoing inflammation] ",
1821,I-1.7,RAKTAJA-PRATISYAYAH,raktaja-pratiśyāyaḥ,रक्तज-प्रतिश्यायः,pratiśyāya due to rakta ,"the disorder is characterized by raktasrāvaḥ [blood discharge], tāmrākṣaḥ [coppery redness of eyes], urōghāta-prapīḍitaḥ [afflicted by features of chest injry], durgandhōcchvāsaḥ/śvāsa pūtitā [bad odour from nose], durgandha-vadanaḥ [foul odour from mouth/hallitosis], gandhaṁ na vētti [unable to perceive smell], snigdhaḥ kr̥mayōḥ atra mūrcchanti [manifestation of unctuous appearing worms], śvētāḥkr̥mayōḥ atra mūrcchanti [manifestation of whitish worms], aṇavaḥ kr̥mayōḥ atra mūrcchanti [manifestation of minute worms], kr̥mimūrdhavikārēṇa [disorders of kr̥mija sirō rōga], urasaḥ suptatā [feelingness of numbness over the chest], tāmra nētratvam [coppery coloured eyes], śrōtra kaṇḍu [itching in ear], akṣi kaṇḍu [itching in eyes], nāsā kaṇḍu [itching in nose] ",
1822,I-1.8,PAKVA-PRATISYAYAH,pakva-pratiśyāyaḥ,पक्व-प्रतिश्यायः,pakva stage of pratiśyāya ,"the disorder is characterized by aṅgalāghavaṁ [feeling of lightness in the body], kṣavathōḥ śamaḥ [subsiding of sneezing], ślēṣmā sacikkaṇaḥ [nasal discharge become slimy and sticky], ślēṣmā pītō [yellowish discharge], ajñānaṁ ca rasagandhayōḥ [inability to understand taste and smell] ",
1823,I-1.9,KSHAYAJA-PRATISYAYAH,kṣayaja-pratiśyāyaḥ,क्षयज-प्रतिश्यायः,pratiśyāya due to kṣaya ,"the disorder is characterized by ghōra dēhakarśanaḥ [severe emaciation of the body], śiraḥśūlaṁ [headache], gauravam [heaviness], ghrāṇaviplavaḥ [stuffy nose], jvaraḥ [fever], kāsaḥ [cough], kaphōtklēśaḥ [nausea with mucous], svarabhēda [hoarseness of voice], āruciḥ [tastelessness], klamaḥ [exhaustion without exertion], indriyāṇāmasāmarthyaṁ [inability of sensory and motor organs to perform their activities] ",
1824,I-1.10,ASADHYA-PRATISYAYAH,asādhya-pratiśyāyaḥ,असाध्य-प्रतिश्यायः,irremediable pratiśyāya ,the disorder is characterized by sarva ēva pratiśyāyā narasyāpratikāriṇaḥ duṣṭatāṁ yānti kālēna [if left untreated all types of pratiśyāya becomes asādhya] ,
1825,I-1.11,PRATISYAYA-UPADRAVAH,pratiśyāya-upadravaḥ,प्रतिश्याय-उपद्रवः,complications of pratiśyāya ,"the disorder is characterized by bādhiryam [deafness/hearing impairment], āndham [blindness], aghrāṇatvam [anosmia], ghōrā nayanāmayam [severe eye diseases], kāsaḥ [cough], agnisādaḥ [diminution of agni (digestive power)], śōtha [oedema] ",
1826,I-2,KSHAVATHUH,kṣavathuḥ,क्षवथुः,sneezing/sternutation ,"the disorder is characterized by kaphānuyātō bahuśaḥ saśabdastaṁ [kapha comes out from the nose with big noise repeatedly], kaphānuyātō anilaḥ nāsikēyā saśabdaṁ bahuśaḥ nirēti [vayu along with kapha comes out forcefully through nose with sound] ",
1827,I-2.1,AGANTUJA-KSHAVATHUH,āgantuja-kṣavathuḥ,आगन्तुज-क्षवथुः,exogenous kṣavathu , ,
1828,I-3,NASASOSHAH,nāsāśōṣaḥ,नासाशोषः,nasal dryness ,"the disorder is characterized by nāsā gāḍhaṁ pariśōṣa [excessive dryness of nose], samucchvasityūrdhvamadhaśca kr̥cchrādya [inspiration and expiration with difficulty], śūkapūrṇābha nāsatvaṁ [feeling as if nose is obstructed with śuka] ",
1829,I-4,PRATINAHAH,pratīnāhaḥ,प्रतीनाहः,nasal obstruction ,"the disorder is characterized by ghrāṇaṁ vr̥ṇōtīva [obstructs the nasal passage], ucchvāsamārgaṁ rundhyāta [obstruction to breathing], naddhatvamiva nāsāyāḥ [obstructed feeling of nasal cavity], niśvāsa ucchvāsa saṁrōdhaḥ [obstruction in inspiration and expiration] ",
1831,I-5,GHRANASRAVAH/NASASRAVAH,ghrāṇasrāvaḥ/nāsāsrāvaḥ,घ्राणस्रावः/नासास्रावः,nasal discharge ,"the disorder is characterized by ajasramacchaṁ salilaprakāśaṁ yasyāvivarṇaṁ sravatīha nāsā [colourless, clear and water like discharge flows incessantly through the nose], rātrau viśēṣēṇa [more marked in the night], acch srāvā (nāsāyā) [clear mucus discharge], jalōpama srāvaḥ(nāsāyā) [watery discharge], ajasra srāvaḥ(nāsāyā) [continuous nasal discharge], avivarṇa srāvaḥ [colourless discharge], ghanaḥ srāvaḥ [thick/dense discharge], pīta srāvaḥ [yellowish discharge], sita srāvaḥ [whitish discharge], tanu srāvaḥ [thin watery discharge] ",
1832,I-6,APINASAH,apīnasaḥ,अपीनसः,chronic rhinitis ,"the disorder is characterized by nāsā ānahyatē [obstruction of the nasal passage], nāsā vidhūpyatē [smoky sensation in nose], nāsā prakliddyatē/ praklinna tēna nāsikā [slimyness in nose], nāsā śōṣa [dryness of nose], gandhaḥ na vētti [inability to recognise smell], rasā na vētti [inability to identify taste], jantujuṣṭaḥ [may get infested with organisms], ghurghura śvāsaḥ [respiration with ghur-ghur sound], pīnasādhika vēdanam [produce more distress than pīnasa rōga], āvēriva sravati (nāsāyā) [discharge from nose like that of sheep], ajasra srāvaḥ [continuos discharge], picchila srāvaḥ [slimy discharge], pīta srāvaḥ [yellowish discharge], pakva siṁghāṇakaṁ sravati [discharge of nasal excreta which has undergone suppuration], ghana siṁghāṇakaṁ sravati [discharge of thick nasal discharge] ",
1833,I-7,GHRANAPAKAH/NASAPAKAH,ghrāṇapākaḥ/nāsāpākaḥ,घ्राणपाकः/नासापाकः,suppurative rhinitis ,"the disorder is characterized by arūṁṣiḥ (balavānpākayuktaḥ) [ulceration in nose with marked suppuration], kōthaḥ [wheal like skin eruptions], viklēdaḥ (nāsāyāḥ) [excessive moistness of nose], nāsapuṭaḥ pacēt [suppuration of nose], dāhaḥ [burning sensation], śūla [associated with pain], tvak pāka(nāsāyā) [suppuration of skin of nose], māmsa pāka(nāsāya) [suppuration of flesh of nose] ",
1834,I-8,NASASVAYATHUH,nāsāśvayathuḥ,नासाश्वयथुः,oedematous rhinitis , ,
1835,I-8.1,VATAJA-NASASVAYATHUH,vātaja-nāsāśvayathuḥ,वातज-नासाश्वयथुः,nāsā-śvayathu due to vāta ,"the disorder is characterized by aruṇaḥ śvayathu [pinkish red swelling], kr̥ṣṇa śvayathu [blackish swelling], mr̥du śvayathu [soft oedema], anavasthitā śvayathu [inconstant swelling], tōdādayā vēdanāviśēśaḥ [various types of pain like pricking sensation etc] ",
1836,I-8.2,PITTAJA-NASASVAYATHUH,pittaja-nāsāśvayathuḥ,पित्तज-नासाश्वयथुः,nāsā-śvayathu due to pitta ,"the disorder is characterized by pītaḥ śvayathuḥ [yellowish swelling], saraktō śvayathuḥ [bloody red swelling], mr̥duḥ śvayathuḥ [soft swelling], śīghrānusāri [fast spreading swelling], ōṣādayaḥ vēdanāviśēṣāḥ [sensations like burning sensation etc] ",
1837,I-8.3,KAPAJA-NASASVAYATHUH,kaphaja-nāsāśvayathuḥ,कफज-नासाश्वयथुः,nāsā-śvayathu due to kapha ,"the disorder is characterized by pāṇḍuḥ śvayathuḥ [pale swelling], śuklō śvayathuḥ [whitish swelling], snigdhaḥ śvayathuḥ [slimy appearanse of swelling], kaṭhinaḥ śvayathuḥ [hard swelling], śītō śvayathuḥ [swelling is cold in nature], mandānusārī śvayathuḥ [develops slowly], kaṇḍavādayaḥ vēdanā viśēṣāḥ [sensations like itching etc] ",
1838,I-8.4,SANNIPATAJA-NASASVAYATHUH,sānnipātaja-nāsāśvayathuḥ,सान्निपातज-नासाश्वयथुः,nāsā-śvayathu due to three dōṣa , ,
1839,I-9,NASARBUDAH,nāsārbudaḥ,नासार्बुदः,nasal tumor ,"the disorder is characterized by vr̥tta māṁsōpacaya śōpha [circular swelling over muscles], sthira māṁsōpacaya śōpha [fixed circular swelling], mandarujaṁ [mild pain], mahāntam [large in size], analpamūlaṁ [broad based], ciravr̥ddhi [slow growing], apākam [non suppurating], ucchvāsamārgaṁ rundhyāta [causes obstruction in the nasal pathway] ",
1840,I-9.1,VATAJA-NASARBUDAH,vātaja-nāsārbudaḥ,वातज-नासार्बुदः,nāsārbuda due to vāta ,"the disorder is characterized by āyamyatē [feeling of stretching], vyathyatē [aching type of pain], tōdaṁ [pricking pain], pratyasyatē kr̥tyata ēti bhēdam [as if being thrown and also cutting and tearing pains], kr̥ṣṇaḥ [blackish discoloration], amr̥du [hard], bastirivātataśca [looks like a bladder distended with air], bhinnaḥ sravēd asramaccham [when it bursts discharges sero-sanguinous fluid] ",
1841,I-9.2,PITTAJA-NASARBUDAH,pittaja-nāsārbudaḥ,पित्तज-नासार्बुदः,nāsārbuda due to pitta ,"the disorder is characterized by dandahyatē [severe burning sensation], dhūpyatē [fuming sensation], cūṣyatē [sucking type of pain], pāpacyatē [intense burning sensation], prajvalatīva [a feeling of being burnt up], raktaḥ sapītōऽpyathavā [it posses red or yellow colour], bhinnaḥ sravēduṣṇamatīva cāsram [discharges hot and excessive amount of blood on bursting] ",
1842,I-9.3,KAPAJA-NASARBUDAH,kaphaja-nāsārbudaḥ,कफज-नासार्बुदः,nāsārbuda due to kapha ,"the disorder is characterized by śīta śōphaḥ [cold swelling], avivarṇaḥ [without any discolouration], alparujō [associated with mild pain], atikaṇḍūḥ [excessive itching], pāṣāṇavat saṁhananōpapannaḥ [stone like consistency], cirābhivr̥ddhiḥ [increases over a long period of time], bhinnaḥ sravēcchuklaghanaṁ ca pūyam [when it burst, discharges white and thick pus] ",
1843,I-9.4,RAKTAJA-NASARBUDAH,raktaja-nāsārbudaḥ,रक्तज-नासार्बुदः,nasal tumor due to rakta ,"the disorder is characterized by sāsrāvam [discharge of blood], unnahyati māṁsapiṇḍaṁ [fleshy protruberance], māṁsāṅkurairācitam [studded with fleshy buds], āśuvr̥ddhi [rapid growth], sravatyajasraṁ rudhiraṁ [continuous discharge of blood] ",
1844,I-9.5,MAMSAJA-NASARBUDAH,māṁsaja-nāsārbudaḥ,मांसज-नासार्बुदः,nāsārbuda due to rakta ,"the disorder is characterized by śōpham [odema], avēdanaṁ [painless swelling], snigdha [smooth swelling], ananyavarṇam [same colour as skin], apākam [non suppurating], aśmōpamam [stone like hard swelling], apracālyam [fixed swelling] ",
1845,I-9.6,MEDAJA-NASARBUDAH,mēdaja-nāsārbudaḥ,मेदज-नासार्बुदः,nāsārbuda due to mēdas ,"the disorder is characterized by snigdha granthi [smooth glandular swelling], mahān granthi [large swelling], alparujaḥ [mild pain], atikaṇḍūḥ [excessive itching], bhinnē piṇyākasarpiḥpratimaṁ tu mēdaḥ [when bursts it discharges fat which is similar to oil-cake and ghee] ",
1846,I-9.7,SARVATMAKA-NASARBUDAH,sarvātmaka-nāsārbudaḥ,सर्वात्मक-नासार्बुदः,nasal tumor due to three dōṣa , ,
1847,I-10,PUYARAKTAM/PUYASONITAM,pūyaraktam/pūyaśōṇitam,पूयरक्तम्/पूयशोणितम्,sanguino purulent rhinitis ,"the disorder is characterized by asr̥kavimiśra pūya-nāsāsrāvaḥ [discharge of blood tinged pus through nose], śirōdāha [burning sensation in head], śirōrujā [headache] ",
1848,I-11,PUTINASA,pūtināsā,पूतिनासा,ozaena ,"the disorder is characterized by pūtimukha (pūti vāyuḥ mukhē nirēti) [putrid odour through mouth], pūti nāsikā (pūti vāyuḥ nāsāyā nirēti) [foul smelling air from nose] ",
1849,I-12,ARUMSHIKA (NASA),arūṁṣikā (nāsā),अरूंषिका (नासा),eruptions on head having multiple openings/furunculosis ,"the disorder is characterized by bahuvakra-arūṁṣiḥ(mūrdhni) [mutiple opening lesion in the scalp], vahuklēda-aruṁṣiḥ (mūrdhni) [excessive soddening in scalp] ",
1850,I-13,DIPTAH,dīptaḥ,दीप्तः,red nose ,"the disorder is characterized by ghrāṇē bhr̥śaṁ dāhaḥ [severe burning sensation in the nose], viniḥsarēddhūma iva vāyuḥ/dhūmōpamā ucchvāsaḥ [air that is expired from the nose feels like smoke], nāsā pradīpta iva [feeling as if the whole nose has been put on fire], dagdha iva bāhya (nāsā) [external part of nose feels as if burnt], dagdha iva antaḥ (nāsā) [internal part of nose feels as if burnt], sparśanāsahaḥ [tenderness/inability to tolerate touch] ",
1851,I-14,BRAMSATHUH,bhraṁśathuḥ,भ्रंशथुः,thick saltish nasal discharge ,"the disorder is characterized by sāndra kaphaḥ prabhraśyatē [excessive secretion of viscid dense mucus], vidagdhaḥ kaphaḥ prabhraśyatē [excessive undigested sour secretion], lavaṇaḥ kaphaḥ prabhraśyatē [excessive salty mucus discharge] ",
1852,I-15,NASAGATA-RAKTAPITTAM,nāsāgata-raktapittam,नासागत-रक्तपित्तम्,epistaxis ,the disorder is characterized by raktaṁ nāsāprabhavapravr̥ttam [blood flows from nose] ,
1853,I-16,NASARSAH,nāsārśaḥ,नासार्शः,nasal polyp ,"the disorder is characterized by pratiśyāyōऽtimātraṁ [cold, catarrh], kṣavathuḥ [excessive sneezing], kr̥cchrōcchvāsatā [difficulty in breathing], pūtinasyaṁ [pus discharge from the nose], sānunāsikavākyatvaṁ [nasal twang in the speech], śirōduḥkhaṁ [headache] ",
1854,I-16.1,VATAJANASARSAH,vātajanāsārśaḥ,वातजनासार्शः,nāsārśa due to vāta ,"the disorder is characterized by pariśuṣkā [dried], aruṇa [slightly red in colour], vivarṇa [discoloration], viṣamamadhyā [irregular in the center], kadambapuṣpākr̥tīni [like the flowers of kadamba (anthocephalus cadamba)], tuṇḍikērī akr̥tīni [like the wild cotton plant], nāḍīmukhākr̥tīni [tubular like appearance], mukulamukhākr̥tīni [flower bud like appearance], sūcīmukhākr̥tīni [point of a needle like appearance], saśūlaṁ [associated with pain] ",
1855,I-16.2,PITTAJANASARSAH,pittajanāsārśaḥ,पित्तजनासार्शः,nāsārśa due to pitta ,"the disorder is characterized by nīlāgrāṇi [blue in their presenting part], tanūni [slender], visarpīṇi [spreading], pītāvabhāsāni [yellowish tinge], yakr̥tprakāśāni [looks like liver], śukajihvāsaṁsthānāni [shape is like that of a parrot's tongue], yavamadhyāni [barley shaped in the middle], jalaukōvaktrasadr̥śāni [similar to the mouth of a leech] ",
1856,I-16.3,KAPAJANASARSAH,kaphajanāsārśaḥ,कफजनासार्शः,nāsārśa due to kapha ,"the disorder is characterized by śvētāni [whitish], mahāmūlāni [broad based], sthirāṇi [fixed], vr̥ttāni [rounded], snigdhāni [smooth], pāṇḍūni [pale white], karīra [appears like karīra sprout], panasāsthi [appears like the kernal of a panasa (jack) fruit], gōstanākārāṇi [appears like teat of a cow], na bhidyantē na sravanti [nither burst nor discharge], kaṇḍūbahulāni [causes excessive itching] ",
1857,I-16.4,SANNIPATAJANASARSAH,sānnipātajanāsārśaḥ,सान्निपातजनासार्शः,nāsārśa due to three dōṣa , ,
1858,I-17,PUTAKAH,puṭakaḥ,पुटकः,scabs in nose ,"the disorder is characterized by antarnāsāyāṁ śōṣaḥ(kapha) [dryness inside the nose], nāsāntaḥ puṭatām prāpnōti [dried kapha causes crust inside the nose] ",
1859,I-18,BRUSAKSHAVAH,bhr̥śakṣavaḥ,भृशक्षवः,induced sneezing ,"the disorder is characterized by tīkṣṇāghrāṇōpayōga [inhaling strong smell], arkaraśmi'upayōga [exposure to sun rays], sūtratr̥ṇādibhiḥupayōga [inserting threads, grass etc. into nose], atyarthaṁ kṣavathuṁ [severe sneezing] ",
1860,J,KARNAROGAH,karṇarōgaḥ,कर्णरोगः,ear diseases , ,
1861,J-1,VATAJAKARNAROGAH/VATAJAKARNASULA,vātajakarṇarōgaḥ/vātajakarṇaśūla,वातजकर्णरोगः/वातजकर्णशूल,karṇarōga due to vāta ,"the disorder is characterized by nādaḥ [tinitus], atiruk (karṇayōḥ) [severe pain in ears], karṇamala-śōṣaḥ [drying of the wax], tanusrāvaḥ [thin watery discharge], aśravaṇam [loss of hearing], karṇa samantataḥ śūlam (atīva) [pain around the ears], vēgavān śūlaḥ [intermittent pain that come in bouts], ardhāvabhēdaka [hemicranial headache], stambham (karṇa) [rigidity/stiffness in ear], śiśira anābhinandanam [aversion to cold], cirāt pākam [take a long time to suppurate], pakvam tu lasīkāṁ alpaśaḥ sravēt [if suppuration occurs discharge of clear fluid occurs in less quantity], akasmāt śrōtraṁ śūnyam (sañcār vicār vat) [occasional feeling of blockage of ears] ",
1862,J-2,PITTAJAKARNAROGAH,pittajakarṇarōgaḥ,पित्तजकर्णरोगः,karṇarōga due to pitta ,"the disorder is characterized by śōphaḥ (karṇaḥ) [odema], sarāgaḥ (karṇaḥ) [redness], daraṇam (karṇaḥ) [tearing], vidāhaḥ (karṇaḥ) [internal burning sensation], sapīta-srāvaḥ (karṇaḥ) [yellowish discharge], sadāhānvita śūlam [pain in the ear associated with burning sensation], ōṣa [burning sensation], śītēcchā [desire for cold], śvayathu [swelling], jvaraḥ [fever], āśu pākam [undergoes suppuration quickly], prapakvaṁ c pītalasīkāsruti [after suppuration discharge of yellowish fluid occurs], sa lasīkā yataḥ spr̥śēt tataḥ pākamupēti [wherever the fluid touches, suppuration occurs] ",
